Wavelength (nm),PpIX634,PpIX620,Lipofuscin,Flavin,NADH,FAD,Collagen,Elastin,Melanin
595,0.002942842,0.01627556,0.089039298,0,0.011784528,0.021072162,0.023413636,0.009127829,0.047912842
596,0.003443261,0.018638617,0.089586531,0,0.011571394,0.019699176,0.023142911,0.008558675,0.046880831
597,0.00394435,0.021377466,0.090084656,0,0.011362114,0.018403942,0.022859136,0.008154794,0.045862027
598,0.00445066,0.024578438,0.090536982,0,0.01115662,0.017194989,0.022560835,0.00772389,0.04486668
599,0.004913802,0.028324295,0.090947129,0,0.010954843,0.016077701,0.022246575,0.007269858,0.04390507
600,0.005333524,0.032737364,0.091315326,0,0.010756714,0.015054626,0.021914932,0.006796591,0.042986903
601,0.005751734,0.037853722,0.091648485,0,0.010562169,0.014126226,0.021564473,0.006307983,0.042120776
602,0.006283476,0.043706056,0.091966259,0,0.010371143,0.013290979,0.021193676,0.005807927,0.041313615
603,0.006962817,0.050301674,0.092278725,0,0.010183571,0.012545664,0.020800889,0.005300318,0.040570114
604,0.007797308,0.057626287,0.092595574,0,0.009999392,0.011886384,0.020385078,0.004789048,0.039892153
605,0.008779151,0.065645894,0.092921215,0,0.009818544,0.011309126,0.01994639,0.004278012,0.039278202
606,0.009917708,0.07439871,0.093253712,0,0.009640967,0.010809917,0.01948631,0.003771104,0.038723095
607,0.011218953,0.083977524,0.093585935,0,0.009466601,0.010385077,0.019007417,0.003261153,0.038219521
608,0.012738328,0.094374524,0.093909506,0,0.009295389,0.010031509,0.018512741,0.002760276,0.03775917
609,0.01453738,0.105501739,0.094214238,0,0.009127274,0.009745515,0.018005119,0.002279096,0.037333471
610,0.016645981,0.117155867,0.094504051,0,0.008962199,0.009520448,0.01748734,0.001829874,0.036934215
611,0.01906282,0.1290987,0.094806264,0,0.008800109,0.009346647,0.016962208,0.001419762,0.036554283
612,0.021864003,0.140998258,0.095155475,0,0.008640951,0.009212237,0.016432574,0.001054258,0.036187873
613,0.025137827,0.152478044,0.095578736,0,0.008484672,0.009103875,0.015901169,0.00073729,0.035829301
614,0.028968937,0.16313539,0.096088181,0,0.008331219,0.009007766,0.015370436,0.000471212,0.035472637
615,0.033482444,0.172563802,0.096680936,0,0.008180541,0.008910942,0.014842469,0.000256811,0.035111571
616,0.038715248,0.180376068,0.097341519,0,0.008032588,0.008802393,0.014319055,9.33E-05,0.034738597
617,0.044700777,0.186230567,0.098046428,0,0.007887312,0.008673281,0.013801823,0,0.034343995
618,0.051446506,0.189861351,0.098768175,0,0.007744663,0.008517036,0.013292439,0,0.033916663
619,0.058937822,0.191107933,0.099479047,0,0.007604593,0.008329341,0.01279259,0,0.033445152
620,0.067139951,0.189939061,0.100141095,0,0.007467057,0.008108176,0.012303962,0,0.03291868
621,0.076091975,0.18646269,0.100710308,0,0.007332009,0.007853857,0.011828244,0,0.032327955
622,0.085888796,0.180916946,0.101158182,0,0.007199403,0.007569074,0.011367233,0,0.031665888
623,0.096522425,0.173641599,0.101470199,0,0.007069195,0.007258916,0.010922817,0,0.030928261
